Character,Relation,Attribute,Content
Occultist,hopeful,start_my_turn_buff_partner,We <i>will</i> overcome our demons.
Jester,hopeful,start_my_turn_buff_partner,"I'll conspire with you any day, heh heh."
Leper,hopeful,start_my_turn_buff_partner,There is a place for us in the summer country.
Hellion,hopeful,start_my_turn_buff_partner,HAVE AT THEM!
Runaway,hopeful,start_my_turn_buff_partner,I'll stick around - for as long as you'll have me.
,,start_my_turn_heal_partner,Hard to tend your own wounds. Let me.
Highwayman,,start_my_turn_heal_partner,Patch yourself up. Keep moving.
Man-at-arms,,start_my_turn_heal_partner,Learned this in the trenches...
Grave Robber,,start_my_turn_heal_partner,"Something for your nerves, dear?"
Plague Doctor,,start_my_turn_heal_partner,This <i>should</i> work...
Occultist,,start_my_turn_heal_partner,Allow me to mend that.
Jester,,start_my_turn_heal_partner,Cheer up. Or don't. Hehe.
Leper,,start_my_turn_heal_partner,"Pain can be a teacher, if you let it."
Hellion,,start_my_turn_heal_partner,All part of the hunt!
Runaway,,start_my_turn_heal_partner,Street medicine.
,amorous,start_my_turn_heal_partner,Not you. Not now. Not yet.
Highwayman,amorous,start_my_turn_heal_partner,C'mon... don't you die on me.
Man-at-arms,amorous,start_my_turn_heal_partner,... A loss I couldn't take.
Grave Robber,amorous,start_my_turn_heal_partner,"I prefer your body intact, love."
Plague Doctor,amorous,start_my_turn_heal_partner,"At my side, you shall forever defy death!"
Occultist,amorous,start_my_turn_heal_partner,I shall read to you while you recover.
Jester,amorous,start_my_turn_heal_partner,You are the rose. I am the thorn.
Leper,amorous,start_my_turn_heal_partner,I am not yet ready to relinquish you.
Hellion,amorous,start_my_turn_heal_partner,Those wounds will make handsome scars!
Runaway,amorous,start_my_turn_heal_partner,"Burn bright, my darling!"
,,interrupt_partner_combos_after_me,Drive them back!
Highwayman,,interrupt_partner_combos_after_me,"One knife in the front, one in the back!"
Man-at-arms,,interrupt_partner_combos_after_me,A pincer maneuver! Flank them!
Grave Robber,,interrupt_partner_combos_after_me,Where'd you learn to dance like that?
Plague Doctor,,interrupt_partner_combos_after_me,Defenses rendered invalid!
Occultist,,interrupt_partner_combos_after_me,Can you feel it? A charge in the air...
Jester,,interrupt_partner_combos_after_me,PUNCHLINE!
Leper,,interrupt_partner_combos_after_me,Thunder follows lightning.
Hellion,,interrupt_partner_combos_after_me,SLAY THEM!
Runaway,,interrupt_partner_combos_after_me,Ha! We make this look easy.
,respectful,interrupt_partner_combos_after_me,That is how it's done!
Highwayman,respectful,interrupt_partner_combos_after_me,*appreciative whistle*
Man-at-arms,respectful,interrupt_partner_combos_after_me,A drubbing they won't soon forget!
Grave Robber,respectful,interrupt_partner_combos_after_me,"Dearie, you're a natural!"
Plague Doctor,respectful,interrupt_partner_combos_after_me,Let us end these aberrations!
Occultist,respectful,interrupt_partner_combos_after_me,THEY ARE INSECTS BEFORE US.
Jester,respectful,interrupt_partner_combos_after_me,That move always got a laugh at court.
Leper,respectful,interrupt_partner_combos_after_me,"You are a worthy partner, indeed."
Hellion,respectful,interrupt_partner_combos_after_me,We shall sing them to their graves!
Runaway,respectful,interrupt_partner_combos_after_me,Let 'er rip!
,,interrupt_partner_retalitates_after_i_am_hit,They'll regret that!
Highwayman,,interrupt_partner_retalitates_after_i_am_hit,Pay me back later.
Man-at-arms,,interrupt_partner_retalitates_after_i_am_hit,We advance together or not at all!
Grave Robber,,interrupt_partner_retalitates_after_i_am_hit,*wink*
Plague Doctor,,interrupt_partner_retalitates_after_i_am_hit,Retaliation!
Occultist,,interrupt_partner_retalitates_after_i_am_hit,"You'd do the same for me, hm?"
Jester,,interrupt_partner_retalitates_after_i_am_hit,Made you look.
Leper,,interrupt_partner_retalitates_after_i_am_hit,Survive the sting - fear the swarm.
Hellion,,interrupt_partner_retalitates_after_i_am_hit,They shall CHOKE on our WRATH!
Runaway,,interrupt_partner_retalitates_after_i_am_hit,Get back!
,respectful,interrupt_partner_retalitates_after_i_am_hit,Not on my watch!
Highwayman,respectful,interrupt_partner_retalitates_after_i_am_hit,We need you at your best.
Man-at-arms,respectful,interrupt_partner_retalitates_after_i_am_hit,Not if I'm still standing!
Grave Robber,respectful,interrupt_partner_retalitates_after_i_am_hit,I admit it. I'd miss you.
Plague Doctor,respectful,interrupt_partner_retalitates_after_i_am_hit,You're too useful to lose to these vermin!
Occultist,respectful,interrupt_partner_retalitates_after_i_am_hit,A valued ally repaid in kind.
Jester,respectful,interrupt_partner_retalitates_after_i_am_hit,I've decided - you don't get to die.
Leper,respectful,interrupt_partner_retalitates_after_i_am_hit,A blow I am happy to take.
Hellion,respectful,interrupt_partner_retalitates_after_i_am_hit,Blood for blood!
Runaway,respectful,interrupt_partner_retalitates_after_i_am_hit,I owed you one. Not that I'm keepin' track.
,,interrupt_MeAsTarget_partner_guards_me,Catch your breath. I'm here.
Highwayman,,interrupt_MeAsTarget_partner_guards_me,I got this.
Man-at-arms,,interrupt_MeAsTarget_partner_guards_me,I'll hold them off!
Grave Robber,,interrupt_MeAsTarget_partner_guards_me,This seat taken?
Plague Doctor,,interrupt_MeAsTarget_partner_guards_me,Perhaps a diversion is in order...
Occultist,,interrupt_MeAsTarget_partner_guards_me,Something in me hungers for a fight...
Jester,,interrupt_MeAsTarget_partner_guards_me,Bah - I'm quicker anyhow!
Leper,,interrupt_MeAsTarget_partner_guards_me,Fall back. I can take this punishment.
Hellion,,interrupt_MeAsTarget_partner_guards_me,Bloodsong rises on the wind...!
Runaway,,interrupt_MeAsTarget_partner_guards_me,I'll distract 'em!
,amorous,interrupt_MeAsTarget_partner_guards_me,I'd suffer worse for you.
Highwayman,amorous,interrupt_MeAsTarget_partner_guards_me,"Mm, like knowing you owe me one."
Man-at-arms,amorous,interrupt_MeAsTarget_partner_guards_me,"I've lost many, but I won't lose you."
Grave Robber,amorous,interrupt_MeAsTarget_partner_guards_me,This is my kind of foreplay.
Plague Doctor,amorous,interrupt_MeAsTarget_partner_guards_me,I won't gamble on your health!
Occultist,amorous,interrupt_MeAsTarget_partner_guards_me,Fate has better things in store for us.
Jester,amorous,interrupt_MeAsTarget_partner_guards_me,And ruin my plans for you tonight?! Pfah!
Leper,amorous,interrupt_MeAsTarget_partner_guards_me,This is not where you fall.
Hellion,amorous,interrupt_MeAsTarget_partner_guards_me,They will NOT touch you...!
Runaway,amorous,interrupt_MeAsTarget_partner_guards_me,These bastards gotta learn you're all MINE!
,,hateful_attack,You're gambling with our fates!
Highwayman,,hateful_attack,We're all safer with you in the dirt.
Man-at-arms,,hateful_attack,Foul my formation no longer!
Grave Robber,,hateful_attack,I've known some laggards in my time...
Plague Doctor,,hateful_attack,I've better things to do than supervise you!
Occultist,,hateful_attack,You're more useful as bait.
Jester,,hateful_attack,"If I break your knees, they'll get you first."
Leper,,hateful_attack,Press me no further.
Hellion,,hateful_attack,"ONE MORE STEP, I CHALLENGE YE!"
Runaway,,hateful_attack,I know where you sleep.
,hateful,hateful_attack,Suffer.
Highwayman,hateful,hateful_attack,One step closer. I dare you.
Man-at-arms,hateful,hateful_attack,"Stand down, greenling!"
Grave Robber,hateful,hateful_attack,You'll wish I'd killed you quickly.
Plague Doctor,hateful,hateful_attack,INSUFFERABLE!
Occultist,hateful,hateful_attack,RrrrRGH. Hnagotha ILYAA'A!
Jester,hateful,hateful_attack,Who's laughing now?
Leper,hateful,hateful_attack,Mistake my calm for weakness at your peril.
Hellion,hateful,hateful_attack,"Die or flee, I care not!"
Runaway,hateful,hateful_attack,You won't last out here.
,,banter_stress_heal,You can't give up now!
Highwayman,,banter_stress_heal,This will pass. Swear it.
Man-at-arms,,banter_stress_heal,Chin up! We've suffered worse.
Grave Robber,,banter_stress_heal,Darkest before dawn an' all that.
Plague Doctor,,banter_stress_heal,"The effects of overwork, nothing more."
Occultist,,banter_stress_heal,Stay close. We are almost through.
Jester,,banter_stress_heal,I'll keep goin' if you do - deal?
Leper,,banter_stress_heal,You are far from lost.
Hellion,,banter_stress_heal,I know you have another swing in you!
Runaway,,banter_stress_heal,Persist! Keep moving!
,hopeful,banter_stress_heal,People depend on us now.
Highwayman,hopeful,banter_stress_heal,Survive. The rest'll shake out.
Man-at-arms,hopeful,banter_stress_heal,I'll carry you 'cross these trenches if I must.
Grave Robber,hopeful,banter_stress_heal,A better world. You think it possible?
Plague Doctor,hopeful,banter_stress_heal,I'm not finished yet. Nor are you!
Occultist,hopeful,banter_stress_heal,We have much to learn from one another.
Jester,hopeful,banter_stress_heal,We should simply refuse to die here.
Leper,hopeful,banter_stress_heal,No feeling is final.
Hellion,hopeful,banter_stress_heal,"We may die, but <i>what a death...!</i>"
Runaway,hopeful,banter_stress_heal,You calm me down. Really.
,respectful,banter_stress_heal,Your strength is a boon to us all.
Highwayman,respectful,banter_stress_heal,We'll send 'em to hell - together.
Man-at-arms,respectful,banter_stress_heal,We fight as one!
Grave Robber,respectful,banter_stress_heal,I've a fondness for you. Continue breathing.
Plague Doctor,respectful,banter_stress_heal,Dispsense with this fear!
Occultist,respectful,banter_stress_heal,"Power, heart, hope - let mine carry you."
Jester,respectful,banter_stress_heal,You're growing on me.
Leper,respectful,banter_stress_heal,You keep us on an even keel.
Hellion,respectful,banter_stress_heal,The fire in our hearts will BLACK THEIR BONES!
Runaway,respectful,banter_stress_heal,We won't leave you behind.
,amorous,banter_stress_heal,Come a little closer.
Highwayman,amorous,banter_stress_heal,How'd you get me so sweet on you?
Man-at-arms,amorous,banter_stress_heal,This old dog has a few tricks left...
Grave Robber,amorous,banter_stress_heal,I am spoilt to have you.
Plague Doctor,amorous,banter_stress_heal,You are beyond appraisal!
Occultist,amorous,banter_stress_heal,The void calls - we shall defy it.
Jester,amorous,banter_stress_heal,Look at you - shining while the world rots.
Leper,amorous,banter_stress_heal,"Stand watch with me later, under the stars."
Hellion,amorous,banter_stress_heal,How their blood shines on you...
Runaway,amorous,banter_stress_heal,"Keep me warm tonight, will you?"
,,banter_stress_out,"Fools, we were..."
Highwayman,,banter_stress_out,Damned souls one and all.
Man-at-arms,,banter_stress_out,What were we thinking...?
Grave Robber,,banter_stress_out,All shall be dust. Even us.
Plague Doctor,,banter_stress_out,Disease. Rot. Putrescence. All of it.
Occultist,,banter_stress_out,One can only push a mind so far...
Jester,,banter_stress_out,Heroics? What were we thinking?
Leper,,banter_stress_out,"Our world - fallen, unrecognizable."
Hellion,,banter_stress_out,IDIOT!
Runaway,,banter_stress_out,I was safer on the streets...
,suspicious,banter_stress_out,I question your motives.
Highwayman,suspicious,banter_stress_out,And show my back to you? Never.
Man-at-arms,suspicious,banter_stress_out,"You think yourself our general, do you?"
Grave Robber,suspicious,banter_stress_out,"Your intent is questionable, like your aim."
Plague Doctor,suspicious,banter_stress_out,You conspire against me!
Occultist,suspicious,banter_stress_out,You have a most malevolent aura.
Jester,suspicious,banter_stress_out,Hands where I can watch 'em.
Leper,suspicious,banter_stress_out,A snake in the grass...
Hellion,suspicious,banter_stress_out,CHICKEN'S HEART! You plan to abandon us!
Runaway,suspicious,banter_stress_out,You ask too many questions.
,envious,banter_stress_out,"A charmed one, you are."
Highwayman,envious,banter_stress_out,I'm nobody's mark.
Man-at-arms,envious,banter_stress_out,It's clear you've got it all figured out.
Grave Robber,envious,banter_stress_out,Well la de bloody <i>da.</i>
Plague Doctor,envious,banter_stress_out,A confluence of confidence and ineptitude!
Occultist,envious,banter_stress_out,"Water-fat and unreliable, you are."
Jester,envious,banter_stress_out,"If you're so smart, you drive the coach."
Leper,envious,banter_stress_out,"Watch your footing, braggart."
Hellion,envious,banter_stress_out,*spits* Pteh.
Runaway,envious,banter_stress_out,You get all the good loot!
,resentful,banter_stress_out,You're just taking up space.
Highwayman,resentful,banter_stress_out,Are you even on our side?!
Man-at-arms,resentful,banter_stress_out,What addle-brain trained you?!
Grave Robber,resentful,banter_stress_out,Our luck has turned since we took you on.
Plague Doctor,resentful,banter_stress_out,These are MY friends! You aim to steal them!
Occultist,resentful,banter_stress_out,"I doubt your allegiance, friend."
Jester,resentful,banter_stress_out,"Hah! Hahah! Oh, goodness."
Leper,resentful,banter_stress_out,"The sea erodes, the coast crumbles."
Hellion,resentful,banter_stress_out,Milk-drunk weakling!
Runaway,resentful,banter_stress_out,Keep up or get left behind!
,hateful,banter_stress_out,"Get out of my face, tottering bespawler."
Highwayman,hateful,banter_stress_out,I've wet my blade for less...
Man-at-arms,hateful,banter_stress_out,Blast you!
Grave Robber,hateful,banter_stress_out,Byspelt! Be you daft or simply a coward?
Plague Doctor,hateful,banter_stress_out,You are a walking HEADACHE!
Occultist,hateful,banter_stress_out,R'luhz ngy'haaAAH!
Jester,hateful,banter_stress_out,None of us would miss you.
Leper,hateful,banter_stress_out,Press not past the bounds of my patience.
Hellion,hateful,banter_stress_out,You'd have been culled as a whelp.
Runaway,hateful,banter_stress_out,"You may fool the others, but not me."
,,affinity_change_add_buff_participating,This might be of some help!
,,affinity_change_add_buff_participating,Let me lend a hand.
Highwayman,,affinity_change_add_buff_participating,You got this. Be ready.
Man-at-arms,,affinity_change_add_buff_participating,Steel yerself!
Grave Robber,,affinity_change_add_buff_participating,Something from the snuff box?
Plague Doctor,,affinity_change_add_buff_participating,Sniff this - to balance the humours!
Occultist,,affinity_change_add_buff_participating,"The stars are, at times, benevolent."
Jester,,affinity_change_add_buff_participating,"Oh, I'll cheer you on if I <i>must.</i>"
Leper,,affinity_change_add_buff_participating,"Find strength in the fray, friend."
Hellion,,affinity_change_add_buff_participating,Spirits at your back!
Runaway,,affinity_change_add_buff_participating,Don't say I never gave you nothin'.
Vestal,,affinity_change_add_buff_participating,"A blessing, if you're in need."
,,affinity_change_add_guard_participating,Behind me!
,,affinity_change_add_guard_participating,I'll draw them over!
,,affinity_change_add_guard_participating,They won't get past me!
Highwayman,,affinity_change_add_guard_participating,I've got you.
Man-at-arms,,affinity_change_add_guard_participating,Behind my shield! Now!
Grave Robber,,affinity_change_add_guard_participating,I'll cut down any who try.
Plague Doctor,,affinity_change_add_guard_participating,Stand back! I'm testing a method...!
Occultist,,affinity_change_add_guard_participating,If you'd permit my assistance...
Jester,,affinity_change_add_guard_participating,"Oho, not without a fight."
Leper,,affinity_change_add_guard_participating,A momentary respite.
Hellion,,affinity_change_add_guard_participating,"Try your luck with me, fiends!"
Runaway,,affinity_change_add_guard_participating,"Quick, get down!"
Vestal,,affinity_change_add_guard_participating,You are under my aegis.
,,affinity_change_add_guard_participating_dd,"It isn't your time, not yet."
,,affinity_change_add_guard_participating_dd,Hold fast!
Highwayman,,affinity_change_add_guard_participating_dd,It doesn't end here.
Man-at-arms,,affinity_change_add_guard_participating_dd,Retreat if ye can!
Grave Robber,,affinity_change_add_guard_participating_dd,Look at you - inspiring heroics!
Plague Doctor,,affinity_change_add_guard_participating_dd,Bodies can be mended!
Occultist,,affinity_change_add_guard_participating_dd,Fate has other things in store for you.
Jester,,affinity_change_add_guard_participating_dd,Allow me to draw their ire.
Leper,,affinity_change_add_guard_participating_dd,"Death is not to be feared, but let us not hurry it."
Hellion,,affinity_change_add_guard_participating_dd,Hold fast - I am your armour!
Runaway,,affinity_change_add_guard_participating_dd,"Get up, damn you! You're not done!"
Vestal,,affinity_change_add_guard_participating_dd,Hold on! A better end awaits us!
,,affinity_change_add_guard_participating_wounded,"Fear not, I will stop them."
,,affinity_change_add_guard_participating_wounded,Tend to your wounds. I'll hold them off!
Highwayman,,affinity_change_add_guard_participating_wounded,I'll hold 'em while you right yourself.
Man-at-arms,,affinity_change_add_guard_participating_wounded,I trained with this shield for a reason!
Grave Robber,,affinity_change_add_guard_participating_wounded,"Don't squander my altruism, hm?"
Plague Doctor,,affinity_change_add_guard_participating_wounded,"Wounded, yes, but breathing!"
Occultist,,affinity_change_add_guard_participating_wounded,Let the unseen ward us...
Jester,,affinity_change_add_guard_participating_wounded,Relax. I'm sturdier than I look.
Leper,,affinity_change_add_guard_participating_wounded,At my side you are safe.
Hellion,,affinity_change_add_guard_participating_wounded,My rage is yours!
Runaway,,affinity_change_add_guard_participating_wounded,I won't let 'em catch you!
Vestal,,affinity_change_add_guard_participating_wounded,Take shelter behind me.
,,affinity_change_add_token_participating,"Look, I can share!"
,,affinity_change_add_token_participating,"For you, friend!"
,,affinity_change_add_token_participating,Here!
Highwayman,,affinity_change_add_token_participating,Take your time. Take aim.
Man-at-arms,,affinity_change_add_token_participating,Listen here and follow my lead!
Grave Robber,,affinity_change_add_token_participating,Try a sip of this. Steadies the hand.
Plague Doctor,,affinity_change_add_token_participating,Allow me to fortify your constitution!
Occultist,,affinity_change_add_token_participating,My power is yours.
Jester,,affinity_change_add_token_participating,Look! A weak spot!
Leper,,affinity_change_add_token_participating,As light parts the fog...
Hellion,,affinity_change_add_token_participating,Flay them from end to end!
Runaway,,affinity_change_add_token_participating,See? I ain't all bad.
Vestal,,affinity_change_add_token_participating,There is strength in you. Find it.
,,affinity_change_attack_same_monster,We're beating them back!
,,affinity_change_attack_same_monster,As one!
Highwayman,,affinity_change_attack_same_monster,That's how it's done.
Man-at-arms,,affinity_change_attack_same_monster,See? We fight as a unit!
Grave Robber,,affinity_change_attack_same_monster,I'm charmed.
Plague Doctor,,affinity_change_attack_same_monster,A synchronized dissection!
Occultist,,affinity_change_attack_same_monster,Snuff them out!
Jester,,affinity_change_attack_same_monster,"What a pair, you and I."
Leper,,affinity_change_attack_same_monster,None of us fights alone.
Hellion,,affinity_change_attack_same_monster,Chase them back to their dens!
Runaway,,affinity_change_attack_same_monster,Send 'em home limping!
Vestal,,affinity_change_attack_same_monster,Back to the void which birthed ye!
,,affinity_change_attack_same_monster_as_comboed,They underestimate us!
,,affinity_change_attack_same_monster_as_comboed,We shall be their undoing!
Highwayman,,affinity_change_attack_same_monster_as_comboed,On 'em like a pack of dogs!
Man-at-arms,,affinity_change_attack_same_monster_as_comboed,This is what we trained for!
Grave Robber,,affinity_change_attack_same_monster_as_comboed,Brilliant!
Plague Doctor,,affinity_change_attack_same_monster_as_comboed,We weary them!
Occultist,,affinity_change_attack_same_monster_as_comboed,They'll be feeling that one.
Jester,,affinity_change_attack_same_monster_as_comboed,"I trained as a soloist, but..."
Leper,,affinity_change_attack_same_monster_as_comboed,Many are the hands that dig their graves.
Hellion,,affinity_change_attack_same_monster_as_comboed,STRIKE WHERE THEY ALREADY BLEED!
Runaway,,affinity_change_attack_same_monster_as_comboed,Hah! Not so fast!
Vestal,,affinity_change_attack_same_monster_as_comboed,Together we overwhelm the enemy!
,,affinity_change_attack_same_monster_as_critted,Few more like that and they're done for!
,,affinity_change_attack_same_monster_as_critted,Hah!
Highwayman,,affinity_change_attack_same_monster_as_critted,I line 'em up...
Man-at-arms,,affinity_change_attack_same_monster_as_critted,Warmed the buggers up for you!
Grave Robber,,affinity_change_attack_same_monster_as_critted,You're dreadful good at this.
Plague Doctor,,affinity_change_attack_same_monster_as_critted,Masterful!
Occultist,,affinity_change_attack_same_monster_as_critted,I admire your cunning.
Jester,,affinity_change_attack_same_monster_as_critted,On three...
Leper,,affinity_change_attack_same_monster_as_critted,As the stream smooths the stone.
Hellion,,affinity_change_attack_same_monster_as_critted,GRAAAAAH!
Runaway,,affinity_change_attack_same_monster_as_critted,Don't let a single one flee!
Vestal,,affinity_change_attack_same_monster_as_critted,They fear the glare of our torch!
,,affinity_change_attack_same_monster_as_debuffed,They'll be scared of US soon!
,,affinity_change_attack_same_monster_as_debuffed,Well done!
Highwayman,,affinity_change_attack_same_monster_as_debuffed,Now we're fightin' dirty!
Man-at-arms,,affinity_change_attack_same_monster_as_debuffed,Now! On the offensive!
Grave Robber,,affinity_change_attack_same_monster_as_debuffed,"Hammer on the nail, you are."
Plague Doctor,,affinity_change_attack_same_monster_as_debuffed,They are enfeebled! Now!
Occultist,,affinity_change_attack_same_monster_as_debuffed,Now we know what weakens them...
Jester,,affinity_change_attack_same_monster_as_debuffed,Got one over on 'em!!
Leper,,affinity_change_attack_same_monster_as_debuffed,The tide turns.
Hellion,,affinity_change_attack_same_monster_as_debuffed,Never saw you coming!
Runaway,,affinity_change_attack_same_monster_as_debuffed,"Yes! Now, again!"
Vestal,,affinity_change_attack_same_monster_as_debuffed,Banish them!
,,affinity_change_healing_participating,Back in the fray with you!
,,affinity_change_healing_participating,You'll live!
Highwayman,,affinity_change_healing_participating,"What's a little blood, eh."
Man-at-arms,,affinity_change_healing_participating,On you go!
Grave Robber,,affinity_change_healing_participating,There. Good as gold.
Plague Doctor,,affinity_change_healing_participating,Cease your wriggling and let me work!
Occultist,,affinity_change_healing_participating,Allow me.
Jester,,affinity_change_healing_participating,I'll fix that if you stop bleeding on me.
Leper,,affinity_change_healing_participating,This pain of yours - it has a purpose.
Hellion,,affinity_change_healing_participating,You will spill more blood yet!
Runaway,,affinity_change_healing_participating,Lemme get that.
Vestal,,affinity_change_healing_participating,"Close your eyes a moment, friend."
,,affinity_change_healing_participating_dd,Surrender not!
,,affinity_change_healing_participating_dd,Not if I have a say in it!
Highwayman,,affinity_change_healing_participating_dd,Get up. You're tougher than this.
Man-at-arms,,affinity_change_healing_participating_dd,On your feet!
Grave Robber,,affinity_change_healing_participating_dd,Not while I still need you.
Plague Doctor,,affinity_change_healing_participating_dd,I conquered death once - I can do so again!
Occultist,,affinity_change_healing_participating_dd,It is not your time.
Jester,,affinity_change_healing_participating_dd,You can't leave me short-handed.
Leper,,affinity_change_healing_participating_dd,Our journey has not reached its end.
Hellion,,affinity_change_healing_participating_dd,You're no weakling!
Runaway,,affinity_change_healing_participating_dd,No! C'mon! Don't give in!
Vestal,,affinity_change_healing_participating_dd,Trust in the Light and each other.
,,affinity_change_healing_participating_wounded,"You're still in this fight, friend!"
,,affinity_change_healing_participating_wounded,That one looks deep.
Highwayman,,affinity_change_healing_participating_wounded,"Can't leave you hangin', can I?"
Man-at-arms,,affinity_change_healing_participating_wounded,What are comrades for?
Grave Robber,,affinity_change_healing_participating_wounded,"T'ain't pretty, but it will hold."
Plague Doctor,,affinity_change_healing_participating_wounded,None better for your wounds than I!
Occultist,,affinity_change_healing_participating_wounded,This may hurt.
Jester,,affinity_change_healing_participating_wounded,We'll fix it up proper on the coach later.
Leper,,affinity_change_healing_participating_wounded,You take punishment well.
Hellion,,affinity_change_healing_participating_wounded,We look after one another!
Runaway,,affinity_change_healing_participating_wounded,Can't have you flagging!
Vestal,,affinity_change_healing_participating_wounded,Let me read you a verse...
,,affinity_change_hit_revenge_attacked,You aren't so bad.
,,affinity_change_hit_revenge_attacked,"Much appreciated, friend."
Highwayman,,affinity_change_hit_revenge_attacked,"Well, well."
Man-at-arms,,affinity_change_hit_revenge_attacked,Seize the opening! There!
Grave Robber,,affinity_change_hit_revenge_attacked,I do love it when people avenge me.
Plague Doctor,,affinity_change_hit_revenge_attacked,Skill and coordination!
Occultist,,affinity_change_hit_revenge_attacked,Were you using me as bait? Hah.
Jester,,affinity_change_hit_revenge_attacked,That'll do!
Leper,,affinity_change_hit_revenge_attacked,It is a blessing to fight alone no longer.
Hellion,,affinity_change_hit_revenge_attacked,We will best them as one!
Runaway,,affinity_change_hit_revenge_attacked,"Phew, that'll show 'em."
Vestal,,affinity_change_hit_revenge_attacked,My thanks.
,,affinity_change_hit_revenge_critted,I want that one's head!
,,affinity_change_hit_revenge_critted,Before it can call any allies!
Highwayman,,affinity_change_hit_revenge_critted,Gut the bastards.
Man-at-arms,,affinity_change_hit_revenge_critted,Show them your mettle!
Grave Robber,,affinity_change_hit_revenge_critted,Marvelous. Make them bleed!
Plague Doctor,,affinity_change_hit_revenge_critted,You'd do that for me...?
Occultist,,affinity_change_hit_revenge_critted,Deepest thanks.
Jester,,affinity_change_hit_revenge_critted,I'm touched.
Leper,,affinity_change_hit_revenge_critted,Even a worm will turn - and you are no worm.
Hellion,,affinity_change_hit_revenge_critted,Smell that! The wind turns!
Runaway,,affinity_change_hit_revenge_critted,I wouldn't ask that of you... but thanks.
Vestal,,affinity_change_hit_revenge_critted,Only together do we stand a chance!
,,affinity_change_move_displaced_observing_pos,Come! This way!
,,affinity_change_move_displaced_observing_pos,"Pardon, friend."
Highwayman,,affinity_change_move_displaced_observing_pos,A good ambush is all preparation.
Man-at-arms,,affinity_change_move_displaced_observing_pos,"Positions, all! Form up!"
Grave Robber,,affinity_change_move_displaced_observing_pos,"Let me slip past, hm?"
Plague Doctor,,affinity_change_move_displaced_observing_pos,I have an idea!
Occultist,,affinity_change_move_displaced_observing_pos,This position may prove an advantage.
Jester,,affinity_change_move_displaced_observing_pos,And a one and a two...
Leper,,affinity_change_move_displaced_observing_pos,I am needed here.
Hellion,,affinity_change_move_displaced_observing_pos,We can rush them from anywhere!
Runaway,,affinity_change_move_displaced_observing_pos,Trust me on this!
Vestal,,affinity_change_move_displaced_observing_pos,I know what I'm doing!
,,affinity_change_remove_dot_participating,For your agonies.
,,affinity_change_remove_dot_participating,That looks painful.
,,affinity_change_remove_dot_participating,Here!
Highwayman,,affinity_change_remove_dot_participating,"Pay me back later, eh?"
Man-at-arms,,affinity_change_remove_dot_participating,That ought to do it!
Grave Robber,,affinity_change_remove_dot_participating,You're in fine hands - promise.
Plague Doctor,,affinity_change_remove_dot_participating,I'm sure I have an ampoule for that...
Occultist,,affinity_change_remove_dot_participating,Be still! This is my specialty!
